Polymer_Name,Solvent_Name,Solute_Name,Tg_K,Polymer_Xc,CHRIS_Category,Solute_CAS,Solute_InChIKey,Solute_SMILES,solute_MW,solute_ring_count,solute_aromatic_ring_count,solute_rotatable_bond_count
PIB,pentane,pentane,205.0,0.0,P2,109-66-0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,72.151,0.0,0.0,2.0
PIB,propane,propane,205.0,0.0,P2,74-98-6,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,44.097,0.0,0.0,0.0
PLGA,dichloromethane,dichloromethane,312.3,0.0,P4,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
PMA,benzene,benzene,276.0,0.0,P2,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
PMA,butyl acetate,butyl acetate,276.0,0.0,P2,123-86-4,DKPFZGUDAPQIHT-UHFFFAOYSA-N,CCCCOC(=O)C,116.16,0.0,0.0,3.0
PMA,cumene,cumene,276.0,0.0,P2,98-82-8,RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)C1=CC=CC=C1,120.195,1.0,1.0,1.0
PMA,ethyl acetate,ethyl acetate,276.0,0.0,P2,141-78-6,XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(=O)C,88.106,0.0,0.0,1.0
PMA,ethylbenzene,ethylbenzene,276.0,0.0,P2,100-41-4,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCC1=CC=CC=C1,106.168,1.0,1.0,1.0
PMA,methyl acetate,methyl acetate,276.0,0.0,P2,79-20-9,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,74.079,0.0,0.0,0.0
PMA,propyl acetate,propyl acetate,276.0,0.0,P2,109-60-4,YKYONYBAUNKHLG-UHFFFAOYSA-N,CCCOC(=O)C,102.133,0.0,0.0,2.0
PMA,toluene,toluene,276.0,0.0,P2,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PMMA,methanol,methanol,381.0,0.0,G2,67-56-1,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,32.042,0.0,0.0,0.0
PMMA,methyl acetate,methyl acetate,381.0,0.0,G2,79-20-9,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,74.079,0.0,0.0,0.0
PMMA,toluene,toluene,381.0,0.0,G2,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PP,N2,nitrogen,253.0,0.0,P2,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,N#N,28.014,0.0,0.0,0.0
PP,heptane,heptane,253.0,0.53,P2,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
PP,propylene,propylene,253.0,0.0,P2,115-07-1,QQONPFPTGQHPMA-UHFFFAOYSA-N,CC=C,42.081,0.0,0.0,0.0
PP,toluene,toluene,253.0,0.51,P2,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PS,bromoform,bromoform,373.0,0.0,G1,75-25-2,DIKBFYAXUHHXCS-UHFFFAOYSA-N,C(Br)(Br)Br,252.731,0.0,0.0,0.0
PS,carbon tetrachloride,carbon tetrachloride,373.0,0.0,G1,56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,C(Cl)(Cl)(Cl)Cl,153.823,0.0,0.0,0.0
PS,chloroform,chloroform,373.0,0.0,G1,67-66-3,HEDRZPFGACZZDS-UHFFFAOYSA-N,C(Cl)(Cl)Cl,119.378,0.0,0.0,0.0
PS,dibromomethane,dibromomethane,373.0,0.0,G1,74-95-3,FJBFPHVGVWTDIP-UHFFFAOYSA-N,C(Br)Br,173.835,0.0,0.0,0.0
PS,dichloromethane,dichloromethane,373.0,0.0,G1,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
PS,dodecane,dodecane,373.0,0.0,G1,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,CCCCCCCCCCCC,170.34,0.0,0.0,9.0
PS,iodomethane,iodomethane,373.0,0.0,G1,74-88-4,INQOMBQAUSQDDS-UHFFFAOYSA-N,CI,141.939,0.0,0.0,0.0
PS,toluene,toluene,373.0,0.0,G1,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PTFE,tetrachloroethylene,tetrachloroethylene,298.15,0.95,P2,127-18-4,CYTYCFOTNPOANT-UHFFFAOYSA-N,C(=C(Cl)Cl)(Cl)Cl,165.834,0.0,0.0,0.0
PVAc,acetone,acetone,305.0,0.0,P3,67-64-1,CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(=O)C,58.08,0.0,0.0,0.0
PVAc,benzene,benzene,305.0,0.0,P3,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
PVAc,chloroform,chloroform,305.0,0.0,P3,67-66-3,HEDRZPFGACZZDS-UHFFFAOYSA-N,C(Cl)(Cl)Cl,119.378,0.0,0.0,0.0
PVAc,methanol,methanol,305.0,0.0,P3,67-56-1,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,32.042,0.0,0.0,0.0
PVAc,methanol,toluene,305.0,0.0,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PVAc,methyl acetate,methyl acetate,305.0,0.0,P3,79-20-9,KXKVLQRXCPHEJC-UHFFFAOYSA-N,CC(=O)OC,74.079,0.0,0.0,0.0
PVAc,propanol,propanol,305.0,0.0,P3,71-23-8,BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,60.096,0.0,0.0,1.0
PVAc,toluene,methanol,305.0,0.0,P3,67-56-1,OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,32.042,0.0,0.0,0.0
PVAc,toluene,toluene,305.0,0.0,P3,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
PVDF,tetrachloroethylene,tetrachloroethylene,333.15,0.6,P3,127-18-4,CYTYCFOTNPOANT-UHFFFAOYSA-N,C(=C(Cl)Cl)(Cl)Cl,165.834,0.0,0.0,0.0
SBR,"2,2,4-trimethylpentane",224 trimethylpentane,205.0,0.0,R2,540-84-1,NHTMVDHEPJAVLT-UHFFFAOYSA-N,CC(C)CC(C)(C)C,114.232,0.0,0.0,1.0
SBR,decane,decane,205.0,0.0,R2,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
SBR,dichloromethane,dichloromethane,205.0,0.0,R2,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
SBR,dodecane,dodecane,205.0,0.0,R2,112-40-3,SNRUBQQJIBEYMU-UHFFFAOYSA-N,CCCCCCCCCCCC,170.34,0.0,0.0,9.0
SBR,eicosane,eicosane,205.0,0.0,R2,112-95-8,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,282.556,0.0,0.0,17.0
SBR,hexadecane,hexadecane,205.0,0.0,R2,544-76-3,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,226.448,0.0,0.0,13.0
SBR,octane,octane,205.0,0.0,R2,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
Siloxane,benzene,benzene,150.0,0.0,R1,71-43-2,UHOVQNZJYSORNB-UHFFFAOYSA-N,C1=CC=CC=C1,78.114,1.0,1.0,0.0
Siloxane,chloroform,chloroform,150.0,0.0,R1,67-66-3,HEDRZPFGACZZDS-UHFFFAOYSA-N,C(Cl)(Cl)Cl,119.378,0.0,0.0,0.0
